Country,°C/GtCO2e
ABW,-0.00020871777246101055
AFG,-0.0005069112156257177
AGO,-0.0004970953713782511
AIA,-0.00024462375434462097
ALA,-0.0004579618330900707
ALB,-0.0004316195308938758
AND,-0.0004345347874384356
ANT,-0.0002365132079830779
ARE,-0.00042312765225064654
ARG,-0.000308234957130674
ARM,-0.0004409579556165332
ASM,-0.00024273658321509922
ATG,-0.00023545496888328823
AUS,-0.00029948882981110404
AUT,-0.0003989792862766723
AZE,-0.00032805936642952985
BDI,-0.0003345710434805788
BEL,-0.0003405550169167333
BEN,-0.0002978247602834829
BFA,-0.00040971215733056926
BGD,-0.00021712509744065305
BGR,-0.0004356018272479114
BHR,-0.00042299477720389716
BHS,-0.0002667264167181923
BIH,-0.00043642836992240173
BLM,-0.00024462375434468694
BLR,-0.0003942986091825903
BLZ,-0.0002725009280471844
BOL,-0.00045536719130149014
BRA,-0.000344490992063171
BRN,-0.0002806104740264924
BTN,-0.0003469987280413632
BWA,-0.0004905687588677731
CAF,-0.0004499626942304717
CAN,-0.0003157643154419146
CHE,-0.0004205837075811769
CHL,-0.00038914000220988105
CHN,-0.00023332271853768427
CIV,-0.00033372844679413217
CMR,-0.0003721542112678621
COD,-0.0004822212062216333
COG,-0.0004285239847077546
COK,-0.0002443282626491281
COL,-0.0004181056486116014
COM,-0.00025934482075616887
CRI,-0.00033405302868400765
CUB,-0.0003186452756856256
CYP,-0.0003139278010589932
CZE,-0.00037424802492397866
DEU,-0.00035147384747598624
DJI,-0.0002674583790076526
DMA,-0.00022945256093510755
DNK,-0.0003443283466009513
DOM,-0.00032704954089764893
DZA,-0.00040131364700485273
ECU,-0.0003424453390436247
EGY,-0.00035179756372666506
ERI,-0.0003494858354310102
ESH,-0.00030935842870326817
ESP,-0.00039298928927564055
EST,-0.00044091182479276896
ETH,-0.00032996718018572855
FIN,-0.000535483033472003
FJI,-0.00022862581041204882
FLK,-0.0002075149346151245
FRA,-0.0003790386088407578
FRO,-0.00031327652645830737
FSM,-0.0002405475851618657
GAB,-0.0003758510263869701
GBR,-0.0003248605201910831
GEO,-0.0003856441336465816
GGY,-0.0002497662993786344
GHA,-0.00028220860717711733
GIB,-0.000325627187456515
GIN,-0.0003948125450509702
GLP,-0.00023352931997983658
GMB,-0.0004276443436129375
GNB,-0.0004630922193169441
GNQ,-0.0004093768055397918
GRC,-0.00039803675848299277
GRD,-0.00021111593430722512
GRL,-0.00033134949205194627
GTM,-0.00039340491871625696
GUF,-0.00031304873206695715
GUM,-0.00024043718457071855
GUY,-0.00031556672061270073
HKG,-0.00023014289085710382
