Year,Type,Spending_2019USD
2000,Oil,2.42021745
2001,Oil,2.390684359
2002,Oil,2.333999768
2003,Oil,2.523672404
2004,Oil,2.789174411
2005,Oil,3.179970682
2006,Oil,3.444933242
2007,Oil,3.462831197
2008,Oil,3.788808564
2009,Oil,3.025417684
2010,Oil,3.453242671
2011,Oil,3.878181072
2012,Oil,3.986810567
2013,Oil,3.962827027
2014,Oil,3.893679227
2015,Oil,3.24176712
2016,Oil,3.024674999
2017,Oil,3.334329762
2018,Oil,3.694952284
2019,Oil,3.624274699
2000,Power sector,1.38789557
2001,Power sector,1.464159975
2002,Power sector,1.511065676
2003,Power sector,1.611519684
2004,Power sector,1.668245012
2005,Power sector,1.765814014
2006,Power sector,1.90557086
2007,Power sector,1.993474238
2008,Power sector,2.060698891
2009,Power sector,2.094814338
2010,Power sector,2.220293471
2011,Power sector,2.272260982
2012,Power sector,2.356094043
2013,Power sector,2.442477242
2014,Power sector,2.495021268
2015,Power sector,2.540506176
2016,Power sector,2.577292977
2017,Power sector,2.620922938
2018,Power sector,2.668623551
2019,Power sector,2.781690573
2000,Coal,0.079288029
2001,Coal,0.081601873
2002,Coal,0.084349029
2003,Coal,0.092014075
2004,Coal,0.12191727
2005,Coal,0.152312107
2006,Coal,0.169388354
2007,Coal,0.187487864
2008,Coal,0.247258893
2009,Coal,0.245483158
2010,Coal,0.261682758
2011,Coal,0.284067302
2012,Coal,0.270193343
2013,Coal,0.258720677
2014,Coal,0.251393261
2015,Coal,0.263379739
2016,Coal,0.248858985
2017,Coal,0.24173023
2018,Coal,0.23086678
2019,Coal,0.220307238
2000,Gas,0.391385279
2001,Gas,0.428487667
2002,Gas,0.396921571
2003,Gas,0.456309969
2004,Gas,0.472036538
2005,Gas,0.521101709
2006,Gas,0.554370178
2007,Gas,0.551191355
2008,Gas,0.615273421
2009,Gas,0.535984858
2010,Gas,0.561105303
2011,Gas,0.567297098
2012,Gas,0.586260402
2013,Gas,0.626130342
2014,Gas,0.619461155
2015,Gas,0.576800487
2016,Gas,0.556369678
2017,Gas,0.57972727
2018,Gas,0.60516038
2019,Gas,0.62928806
2000,Total,4.278786328
2001,Total,4.364933874
2002,Total,4.326336044
2003,Total,4.683516132
2004,Total,5.0513732309999995
2005,Total,5.619198512
2006,Total,6.074262634
2007,Total,6.194984654
2008,Total,6.712039769
2009,Total,5.901700038
2010,Total,6.496324203
2011,Total,7.0018064540000005
2012,Total,7.199358355
2013,Total,7.290155287999999
2014,Total,7.2595549109999995
2015,Total,6.622453522
2016,Total,6.407196639
2017,Total,6.7767102
2018,Total,7.199602995
2019,Total,7.25556057
