tax,generator_subsidy,battery_subsidy,step,n_counterfactuals,welfare,welfare_USA,welfare_CHN,welfare_EU,welfare_IND,p_breakdown,value_at_risk,uniform,contiguous,delay,seed
1.0,0.0,0.0,170000,64,16.708021507969875,4.251397606874133,5.684388172879321,5.134517130903815,1.6377185973126056,0.001,0.0,True,True,4,0
1.0,0.0,0.0,200000,64,16.616834162583185,4.220028252486805,5.653293513986601,5.119887841542234,1.6236245545675452,0.001,2.5,True,True,4,0
0.0,0.8,0.0,200000,64,8.227801195694722,2.090846445301421,2.7917132092528276,2.5482475788640837,0.79699396227639,0.001,0.0,True,True,4,0
0.0,0.8,0.0,190000,64,8.146116745511467,2.0788053945667038,2.7785409968511807,2.4970789957954644,0.7916913582981192,0.001,2.5,True,True,4,0
0.0,0.8,0.0,200000,13,8.019018314359919,2.0702081593704027,2.7318632076528795,2.4271280245095683,0.7898189228270667,0.001,0.0,True,False,4,0
0.0,0.8,0.0,200000,13,7.995029968848221,2.054671204796489,2.726257901948964,2.422285779363629,0.7918150827391385,0.001,2.5,True,False,4,0
0.0,0.8,0.0,200000,13,6.630710656263441,1.7057089747507463,2.2634461562583876,2.0111547335049815,0.6504007917493253,0.05,0.0,True,False,4,0
0.0,0.5,0.0,170000,64,6.416120489108384,1.6321937175811583,2.182944456311717,1.969634625798964,0.6313476894165451,0.001,0.0,True,True,4,0
0.0,0.8,0.0,200000,13,6.389146945235529,1.6511415170883963,2.1823199805748876,1.926294128255579,0.6293913193166668,0.05,2.5,True,False,4,0
1.0,0.0,0.0,200000,13,6.369283727033476,1.6410625817267475,2.17378108428356,1.9227212698532319,0.6317187911699365,0.001,0.0,True,False,4,0
1.0,0.0,0.0,200000,13,6.350761346094187,1.633489142700661,2.1640009464538505,1.9213205634726382,0.631950693467037,0.001,2.5,True,False,4,0
0.0,0.5,0.0,200000,64,6.309328939403475,1.6063000044383564,2.1447024052965187,1.9470527423814517,0.6112737872871484,0.001,2.5,True,True,4,0
0.0,0.5,0.0,200000,13,6.009118779425388,1.5509166466002886,2.047024471748826,1.815269168334772,0.5959084927415015,0.001,0.0,True,False,4,0
0.0,0.5,0.0,200000,13,6.001902127013196,1.5410990496984054,2.0425502696623874,1.8219819901201082,0.596270817532295,0.001,2.5,True,False,4,0
1.0,0.0,0.0,170000,64,5.647990779772824,1.4554475310988768,1.9230586374488035,1.7062354020003478,0.5632492092247952,0.05,0.0,True,True,4,0
1.0,0.0,0.0,200000,13,5.065399967250916,1.3039142221870574,1.727347752616324,1.5305847700075927,0.5035532224399419,0.05,0.0,True,False,4,0
0.0,0.5,0.0,200000,13,4.981233881381344,1.2756777727116786,1.7008498353598607,1.5155939884720755,0.4891122848377298,0.05,0.0,True,False,4,0
1.0,0.0,0.0,200000,13,4.819036265354486,1.2354430699457903,1.6415550788840076,1.4619320716080735,0.4801060449166144,0.05,2.5,True,False,4,0
0.0,0.5,0.0,200000,13,4.736816156234709,1.2139955488744827,1.616096878469317,1.4418592258730176,0.46486450301789134,0.05,2.5,True,False,4,0
0.0,0.8,0.0,200000,13,4.634174824601777,1.1883011186099353,1.581908525012754,1.3953394458022716,0.4686257351768155,0.15,0.0,True,False,4,0
1.0,0.0,0.0,200000,64,4.432952167214695,1.140559679894846,1.5132675289094308,1.3369390712663884,0.44218588714402995,0.05,2.5,True,True,4,0
0.0,0.8,0.0,200000,13,4.046650702712933,1.0483902935801452,1.3773405961079355,1.2219778861229642,0.3989419269018876,0.15,2.5,True,False,4,0
0.0,0.8,0.0,170000,64,3.934778351875225,1.0129188202987627,1.3434279577566106,1.1891536094688469,0.3892779643510046,0.05,0.0,True,True,4,0
0.0,0.5,0.0,200000,13,3.4547566460257064,0.885239574629487,1.1783006057218985,1.04434753974548,0.34686892592884067,0.15,0.0,True,False,4,0
1.0,0.0,0.0,200000,13,3.3340042638614404,0.859089575366894,1.1340261036812547,1.015186440193565,0.32570214461972674,0.15,0.0,True,False,4,0
0.0,0.5,0.0,200000,64,3.1565277834092775,0.8112909965676784,1.065011262098202,0.97232512050651,0.307900404236887,0.05,0.0,True,True,4,0
