tax,generator_subsidy,battery_subsidy,step,n_counterfactuals,welfare,welfare_USA,welfare_CHN,welfare_EU,welfare_IND,p_breakdown,value_at_risk,uniform,contiguous,delay,seed
1.0,0.0,0.0,30000,64,16.777476046674895,4.335005196014875,5.733353533593608,5.247176671774407,1.4619406452920019,0.001,0.0,True,True,4,0
1.0,0.0,0.0,100000,64,16.607988678180742,4.225577645980403,5.650203054047194,5.111496064086479,1.6207119140666653,0.001,2.5,True,True,4,0
0.0,0.8,0.0,98000,64,8.327438046676575,2.1290227638621313,2.8225178353109337,2.558885747373718,0.8170117001297914,0.001,0.0,True,True,4,0
0.0,0.8,0.0,100000,13,8.11439051513121,2.089284578069346,2.754704984790279,2.4565620363094087,0.8138389159621781,0.001,2.5,True,False,4,0
0.0,0.8,0.0,20000,64,7.50557332918418,1.9362727643368758,2.5412118262728955,2.316113008621107,0.7119757299533022,0.001,2.5,True,True,4,0
0.0,0.5,0.0,30000,64,6.672172638814047,1.7086585153800098,2.2795489360150443,2.0516015214602192,0.6323636659587741,0.001,0.0,True,True,4,0
0.0,0.8,0.0,128000,13,6.404890545450106,1.6465080252168398,2.1877220956973567,1.9377496697796437,0.6329107547562665,0.05,2.5,True,False,4,0
1.0,0.0,0.0,200000,13,6.350760614978277,1.63348904957733,2.1640004940396,1.921320381251382,0.6319506901099651,0.001,2.5,True,False,4,0
0.0,0.5,0.0,82000,64,6.343643512911729,1.612543971024943,2.163269528212056,1.9511401632961032,0.6166898503786276,0.001,2.5,True,True,4,0
0.0,0.5,0.0,200000,13,6.0019012391987925,1.5410988833445922,2.042549882599433,1.8219816548191825,0.596270818435585,0.001,2.5,True,False,4,0
1.0,0.0,0.0,200000,13,4.819036164358131,1.2354430632523419,1.6415550060351427,1.461932048921902,0.48010604614874447,0.05,2.5,True,False,4,0
0.0,0.5,0.0,200000,13,4.73681605603074,1.2139955312481991,1.6160968431235652,1.4418591756824917,0.46486450597648443,0.05,2.5,True,False,4,0
0.0,0.8,0.0,96000,13,4.072541921162728,1.0484979450678522,1.3849716853698582,1.242483425137764,0.396588865587253,0.15,2.5,True,False,4,0
0.0,0.8,0.0,28000,64,4.01434369242148,1.0361747160035029,1.373636298796632,1.208139385025591,0.3963932925957543,0.05,0.0,True,True,4,0
0.0,0.5,0.0,32000,64,3.212593826012163,0.8242703383173247,1.094491332104292,0.9754379048104959,0.3183942507800505,0.05,0.0,True,True,4,0
0.0,0.5,0.0,200000,13,2.853605146011259,0.7291377345084313,0.9733403868821748,0.8740665280786505,0.27706049654200227,0.15,2.5,True,False,4,0
0.0,0.8,0.0,76000,64,2.7470340597785725,0.704470627484264,0.937022976050784,0.8325358196224412,0.27300463662108343,0.05,2.5,True,True,4,0
1.0,0.0,0.0,200000,13,2.733259017599683,0.6994237712498218,0.9329340394773592,0.8315430647905702,0.2693581420819317,0.15,2.5,True,False,4,0
1.0,0.0,0.0,64000,64,2.445197414668022,0.6282927703636344,0.8362955122046594,0.732365865547847,0.24824326655188128,0.15,0.0,True,True,4,0
0.0,0.8,0.0,20000,64,2.38708537585008,0.6235788163810364,0.8073942848866394,0.7117119658117848,0.24440030877061925,0.15,0.0,True,True,4,0
0.0,0.5,0.0,24000,64,1.9547411085055733,0.5049639271852657,0.6613917410454403,0.5944421592955996,0.19394328097926736,0.05,2.5,True,True,4,0
0.0,0.8,0.0,44000,64,1.942418808769383,0.5006754457050985,0.6642942104308707,0.5678344356767266,0.20961471695668715,0.3,0.0,True,True,4,0
0.0,0.8,0.0,142000,13,1.903771232694254,0.49440820536647184,0.6432122121070363,0.580432872236908,0.185717942983838,0.3,2.5,True,False,4,0
0.0,0.5,0.0,18000,64,1.879075178129242,0.48617783132038866,0.6406617888227948,0.5619915207708185,0.19024403721524033,0.15,0.0,True,True,4,0
1.0,0.0,0.0,16000,64,1.4797920581737958,0.3864984029358866,0.6154941094764116,0.4453068588300708,0.032492686931426734,0.3,0.0,True,True,4,0
0.0,0.5,0.0,14000,64,1.2919141727485723,0.33333397191184966,0.44026037186854194,0.3803703912320561,0.13794943773612448,0.3,0.0,True,True,4,0
0.0,0.8,0.0,36000,64,1.2170481827557516,0.327273151942587,0.403011788522143,0.3629249868199262,0.1238382554710954,0.6,0.0,True,True,4,0
0.0,0.5,0.0,180000,13,1.171950761742978,0.3112980742770919,0.3916456971888212,0.35698716608625936,0.11201982419080576,0.3,2.5,True,False,4,0
1.0,0.0,0.0,2000,64,1.0895660863960548,0.29917019367419095,0.3524352613929323,0.33617554920465254,0.10178508212427895,0.05,0.0,True,True,4,0
1.0,0.0,0.0,58000,64,0.7635387644571644,0.19769767450321862,0.2601716018854735,0.22468000696710413,0.08098948110136817,0.15,2.5,True,True,4,0
0.0,0.8,0.0,20000,64,0.7535092208815808,0.19711477043113465,0.2565771752085803,0.22171617485332118,0.07810110038854462,0.15,2.5,True,True,4,0
1.0,0.0,0.0,38000,64,0.736863327434004,0.18560946013989613,0.264331241652113,0.22502004508489012,0.061902580557104674,0.6,0.0,True,True,4,0
1.0,0.0,0.0,80000,13,0.641138269812838,0.15488881658851367,0.2158636078525286,0.20243692075710154,0.06794892461469419,0.3,2.5,True,False,4,0
0.0,0.5,0.0,10000,64,0.6256858541192692,0.2060969260946012,0.2130068677691132,0.11606028962864975,0.090521770626905,0.6,0.0,True,True,4,0
0.0,0.5,0.0,22000,64,0.437029071381417,0.10432316430320232,0.13995374791513523,0.10840441169504153,0.0843477474680379,0.9,0.0,True,True,4,0
1.0,0.0,0.0,8000,64,0.4084582707398066,0.04722763908479398,0.25904011444371666,0.10514649972574922,-0.0029559825144532376,0.9,0.0,True,True,4,0
0.0,0.8,0.0,8000,64,0.31307624546731266,0.24112283160105824,0.08005405322187338,-0.046836532453849826,0.03873589309823091,0.9,0.0,True,True,4,0
0.0,0.5,0.0,18000,64,0.23213054530560662,0.05714276895916959,0.08376687898604204,0.0650359611653234,0.026184936195071583,0.15,2.5,True,True,4,0
0.0,0.8,0.0,28000,64,0.14165740023807252,0.03472046667528366,0.037992412342193964,0.022687747143874823,0.04625677407672008,0.3,2.5,True,True,4,0
0.0,0.5,0.0,28000,64,-0.1940195740131225,-0.050619723089430226,-0.07431271338321242,-0.07095384586739635,0.0018667083269165226,0.3,2.5,True,True,4,0
0.0,0.8,0.0,74000,13,-0.20300036598956114,-0.05326397514326042,-0.07807090714803108,-0.05325644267917095,-0.01840904101909868,0.6,2.5,True,False,4,0
1.0,0.0,0.0,16000,64,-0.33643115083316477,-0.12110405105269806,0.05513587957694982,-0.14494542273129782,-0.1255175566261187,0.3,2.5,True,True,4,0
0.0,0.5,0.0,26000,13,-0.4283885607573898,-0.12092297515789653,-0.1831265943726667,-0.16754193566426412,0.043202944437437565,0.6,2.5,True,False,4,0
0.0,0.8,0.0,36000,64,-0.6828686586861433,-0.17383558734498675,-0.23734796077595766,-0.1908369987776337,-0.08084811178756522,0.6,2.5,True,True,4,0
1.0,0.0,0.0,68000,13,-0.8057896098046127,-0.20118671301846872,-0.2704017776613688,-0.24868908006070853,-0.08551203906406661,0.6,2.5,True,False,4,0
1.0,0.0,0.0,5,64,-1.1612345375685003,-0.2832410763492958,-0.31084546551614756,-0.33058964438200705,-0.2365583513210498,0.05,2.5,True,True,4,0
1.0,0.0,0.0,38000,64,-1.174848814836218,-0.3239127941724935,-0.3484596044062826,-0.34169263273547645,-0.1607837835219655,0.6,2.5,True,True,4,0
0.0,0.8,0.0,14000,13,-1.261611407119066,-0.2698884950941014,-0.35636990455012835,-0.42258561541734996,-0.21276739205748632,0.9,2.5,True,False,4,0
0.0,0.5,0.0,8000,64,-1.305570353425016,-0.27753171517916797,-0.42433015476472924,-0.44595079595891685,-0.15775768752220198,0.6,2.5,True,True,4,0
0.0,0.5,0.0,18000,13,-1.3347627585551927,-0.3198906513635612,-0.4121515322399323,-0.44045749872243894,-0.16226307622926037,0.9,2.5,True,False,4,0
1.0,0.0,0.0,42000,13,-1.3770410504524446,-0.37001862643232447,-0.4559069206900757,-0.4005040016571179,-0.1506115016729267,0.9,2.5,True,False,4,0
1.0,0.0,0.0,8000,64,-1.5668906844932624,-0.43225400177839807,-0.32589621368074356,-0.5596801863657183,-0.24906028266840244,0.9,2.5,True,True,4,0
0.0,0.5,0.0,16000,64,-1.588537753511893,-0.44670800310751096,-0.4420615301035375,-0.48031897785128946,-0.21944924244955516,0.9,2.5,True,True,4,0
0.0,0.8,0.0,8000,64,-1.6069400425997544,-0.2531251885777102,-0.4772207556323547,-0.5710119445400114,-0.3055821538496781,0.9,2.5,True,True,4,0
